steps,grad_similarity
814,-0.034662925
815,-0.015004992
816,0.138580516
817,-0.157351226
818,0.055243142
819,-0.002385488
820,0.021701373
821,-0.011564237
822,0.043576624
823,0.087957241
824,0.051357385
825,-0.072400235
826,0.08578337
827,0.031095322
828,-0.050943691
829,0.000608401
830,-0.013736454
831,-0.062419515
832,-0.046499543
833,-0.002229646
834,-0.005180429
835,-0.090541609
836,0.013587685
837,-0.024590671
838,0.053831063
839,-0.011689928
840,-0.000235482
841,0.187686175
842,0.084267542
843,-0.015137598
844,-0.024536889
845,-0.032881379
846,0.004219275
847,-0.069591738
848,0.02300762
849,-0.032212213
850,0.453177363
851,0.016170196
852,-0.020589633
853,0.05033106
854,0.062437203
855,-0.048095621
856,0.030860091
857,-0.098798916
858,0.047755376
859,-0.021157483
860,-0.029146696
861,-0.017473131
862,-0.028028931
863,-0.02662373
864,-0.03170925
865,-0.019503387
866,0.057380542
867,-0.021044038
868,0.009890403
869,-0.001233499
870,-0.027155783
871,-0.034511283
872,-0.008022286
873,0.024430413
874,-0.036582232
875,0.011359364
876,0.042973999
877,-0.036115319
878,0.000775063
879,-0.085559353
880,0.088057369
881,0.090495795
882,-0.048135344
883,0.005227355
884,0.04762242
885,0.047433008
886,0.065203302
887,-0.062944055
888,0.027601959
889,0.009342822
890,0.124523371
891,0.025453668
892,0.189248502
893,-0.039151743
894,-0.007361293
895,0.047304347
896,-0.017155861
897,-0.161032006
898,-0.172360733
899,0.059183571
900,0.020502549
901,-0.01711192
902,-0.033544548
903,-0.021883534
904,0.036608726
905,-0.001924095
906,-0.066313133
907,0.09136647
908,-0.036301371
909,0.016408529
910,-0.058961816
911,0.001577946
912,0.076517522
913,-0.025030913
914,-0.100412831
915,0.031506941
916,0.047041021
917,0.119451992
918,0.056098908
919,-0.00668063
920,0.041694276
921,0.006305269
922,-0.219167471
923,-0.018105347
924,-0.048495442
925,-0.040436145
926,-0.006995845
927,-0.004875205
928,-0.256373495
929,0.006201453
930,-0.038596336
931,-0.012591288
932,-0.025758769
933,0.029899981
934,0.084023654
935,-0.005383023
936,0.03602872
937,-0.033431914
938,0.169756711
939,-0.041757431
940,0.030610096
941,0.142988265
942,-0.000715582
943,0.101574779
944,0.010195438
945,0.084779009
946,-0.006597162
947,-0.005172281
948,0.064354151
949,0.025323872
950,-0.0157873
951,0.115290955
952,0.050335169
953,-0.030206507
954,-0.073543631
955,-0.011167014
956,0.017601077
957,-0.071088992
958,0.019437423
959,-0.008417326
960,0.050101239
961,-0.060370669
962,0.008797609
963,-0.022766052
964,0.108011
965,-0.021779345
966,0.000409452
967,-0.029420195
968,0.034425776
969,0.023407063
970,-0.118324965
971,0.005107983
972,0.11019174
973,0.067537233
974,-0.059656136
975,0.047991436
976,0.049405836
977,-0.017021568
978,-0.049075682
979,0.028160453
980,0.015610774
981,-0.005175583
982,-0.250700861
983,-0.025301807
984,0.004883785
985,0.015729338
986,0.021844959
987,0.063668966
988,0.03126758
989,0.091147467
990,0.016949762
991,0.032652147
992,0.021033689
993,-0.012685198
994,-0.063426405
995,0.039008107
996,0.015550785
997,-0.015803894
998,-0.03759421
999,-0.026746765
1000,0.016950591
1001,0.003759224
1002,-0.037782252
1003,0.018650914
1004,-0.00460333
