steps,grad_similarity
955,0.044501025
956,-0.108421274
957,-0.307099611
958,0.292003602
959,0.26820302
960,0.15836145
961,-0.170684949
962,0.21855548
963,-0.333996862
964,0.648741901
965,-0.1280642
966,0.267220974
967,-0.185478479
968,-0.545598865
969,-0.244368017
970,0.193533748
971,-0.194644704
972,0.64668107
973,-0.259419143
974,-0.288644075
975,-0.136334866
976,0.085028544
977,-0.015604012
978,-0.286970556
979,0.092989348
980,-0.067449585
981,-0.14689137
982,-0.43011114
983,-0.219354078
984,-0.447859645
985,0.09124887
986,0.037785973
987,-0.28673026
988,-0.327923208
989,0.103603646
990,-0.299142361
991,-0.349080235
992,0.256365895
993,0.507067204
994,0.351384461
995,0.404781997
996,-0.30943507
997,-0.467538953
998,-0.527634799
999,-0.131175205
1000,0.746280611
1001,-0.620647192
1002,0.127464563
1003,0.510809243
1004,-0.195079014
1005,-0.256118357
1006,0.248228818
1007,0.208467603
1008,-0.220065504
1009,-0.535447419
1010,0.286968023
1011,0.321489215
1012,0.12723133
1013,0.474224031
1014,0.024914419
1015,-0.020025168
1016,0.110705569
1017,-0.430533558
1018,0.344885916
1019,-0.120204113
1020,0.135764048
1021,-0.116737962
1022,-0.062054753
1023,-0.008603003
1024,-0.304997563
1025,-0.445633113
1026,-0.534692407
1027,-0.371769339
1028,-0.230991915
1029,-0.259064525
1030,0.259074926
1031,0.334348053
1032,-0.261469007
1033,0.245756805
1034,0.015022345
1035,-0.114710875
1036,-0.477428526
1037,-0.648420095
1038,0.033216804
1039,0.074716702
1040,0.166594565
1041,0.57363224
1042,-0.132431358
1043,0.637327909
1044,-0.358953834
1045,0.314859986
1046,-0.479241133
1047,0.392659038
1048,-0.48214826
1049,0.440534472
1050,-0.149219885
1051,0.339470148
1052,-0.319530189
1053,0.09942662
1054,0.101781972
1055,0.138651431
1056,-0.125142053
1057,-0.09175349
1058,0.570134699
1059,-0.520441294
1060,-0.18551895
1061,0.447415859
1062,-0.075633168
1063,-0.655180216
1064,0.436085343
1065,0.043828838
1066,-0.227284834
1067,0.069219545
1068,0.088410988
1069,-0.074755996
1070,0.230953634
1071,0.419766963
1072,0.661120594
1073,-0.755063295
1074,-0.029334798
1075,-0.522312462
1076,-0.700168133
1077,-0.448059112
1078,0.50860095
1079,-0.357239991
1080,-0.566288829
1081,-0.471678257
1082,-0.37027207
1083,-0.580821276
1084,-0.321061611
